_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
11,Education,Colleges and Universities,King,Seneca College - King Campus Expansion,Complete,May-18,Campus expansion,"200,000 sq. ft. of new space, including classrooms, library, learning commons and more to support  1,500 more students",York,Central,13990 Dufferin St,L7B 1B3,,0,,Yes,,Yes,http://www.infrastructureontario.ca/Seneca-College-King-Campus-Expansion/,43.955689,-79.51003
12,Education,Colleges and Universities,Kingston,Queen's University - Botterell Hall Revitalization,Complete,Nov-18,Renovation and expansion of building,"New biomedical research facility for more than 500 students, staff and researchers",Frontenac,East,10 Stuart St,K7L 2V5,,31834810,,Yes,Yes,Yes,,44.224388,-76.491475
13,Education,Colleges and Universities,Kingston,Queen's University - Innovation and Wellness Centre,Complete,Nov-18,Renovating and expanding existing building,"New centre to house academic, recreational, student life and services (e.g. mental health) and an innovation hub for bioengineering, groundwater and environmental  research",Frontenac,East,69 Union St,K7L 2N9,,87465000,,Yes,Yes,Yes,http://www.queensu.ca/connect/innovationandwellness/,44.226158,-76.48569
14,Education,Colleges and Universities,Kingston,St. Lawrence College - SLC: HELLO Future - Where Innovation meets Revitalization,Complete,Oct-18,"Renovating and expanding campus infrastructure, teaching and research  spaces","New health and fitness facilities, simulation labs, and other program space to support increased enrollment, especially among Indigenous students",Frontenac,East,100 Portsmouth Ave,K7L 5A6,,32100000,,Yes,Yes,Yes,,44.222576,-76.528369
15,Education,Colleges and Universities,Kitchener,"Conestoga College - Pathways to Prosperity: enhancing productivity to build stronger, more competitive communities",Complete,Apr-18,Renovating and expanding existing building,"New centre for culinary, hospitality, recreation and tourism program",Waterloo,Southwest,299 Doon Valley Dr,N2G 4M4,,0,,Yes,Yes,Yes,,43.38986,-80.4048
16,Education,Colleges and Universities,London,"Western University - Faculty of Information and Media Studies (FIMS), the School of Nursing and Institute for Advanced Study",Complete,Nov-16,Renovation of existing buildings,"Modernizing 118,400 sq. ft. of space to improve accessibility and energy efficiency",Middlesex,Southwest,1151 Richmond St,N6A 3K7,,21000000,,Yes,,Yes,,43.00856,-81.2635
17,Education,Colleges and Universities,London,Western University - The Western Interdisciplinary Research Building (WIRB),Complete,Apr-18,Construction of new building ,"Adding 130,000 sq. ft. of space to house Research Cluster for Cognitive Neuroscience, including Brain & Mind Institute, and the Rotman Institute of Philosophy",Middlesex,Southwest,1151 Richmond St,N6A 3K7,,0,,,Yes,Yes,,43.008221,-81.262477
18,Education,Colleges and Universities,London,"Western University - Three C+ - an Innovation Centre to Connect, Collaborate, and Create",Complete,Jul-18,Construction of new building ,"Adding 100,000 sq. ft. of space to support  interdisciplinary research in engineering and business",Middlesex,Southwest,1152 Richmond St,N6A 3K7,,0,,,Yes,Yes,,43.008903,-81.261123
19,Education,Colleges and Universities,Mississauga,Sheridan College - Hazel McCallion Campus Expansion Phase II,Complete,Nov-16,Expansion of building ,"3,200 additional fulltime students to use new classrooms, studios, labs, production and gallery space and more",Peel,Central,4180 Duke of York Blvd,L5B 0G5,,67700000,,Yes,,Yes,http://www.infrastructureontario.ca/Sheridan-College-Hazel-McCallion-Campus-Expansion/,43.59109,-79.6471
20,Education,Colleges and Universities,Mississauga,University of Toronto at Mississauga - North Building Reconstruction ,Complete,Dec-16,Renovating North Building in three phases,"6-storey, 210,000-sq. ft.-space to house several departments and provide more flexible learning and social spaces",Peel,Central,3359 Mississauga Rd,L5L 1C6,,52500000,,Yes,,Yes,,43.54864,-79.6621
